question,answer,cleaned_question,cleaned_answer
is this table okay?,"no, it's too close to the kitchen door.",table okay,close kitchen door
"no, it's too close to the kitchen door.",how about this table?,close kitchen door,table
how about this table?,"no, it's too close to the front door.",table,close door
"no, it's too close to the front door.",this looks like a nice table.,close door,look like nice table
this looks like a nice table.,"no, it's too close to the salad bar.",look like nice table,close salad bar
"no, it's too close to the salad bar.","okay, i give up.",close salad bar,okay
"okay, i give up.","well, there is one good table.",okay,good table
"well, there is one good table.",great. which one?,good table,great
great. which one?,that one. a group of eight just sat down at it.,great,group sit
i don't believe the art world.,what is it this time?,believe art world,time
what is it this time?,an andy warhol drawing.,time,andy warhol draw
an andy warhol drawing.,he's a famous artist.,andy warhol draw,famous artist
he's a famous artist.,he drew two butterflies and a flower on a napkin in a restaurant.,famous artist,draw butterfly flower napkin restaurant
he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?,draw butterfly flower napkin restaurant,sign
did he sign it?,yes.,sign,yes
yes.,is it beautiful?,yes,beautiful
is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains!,beautiful,black ink white napkin napkin food stain
it's just black ink on a white napkin. and the napkin has food stains!,so it's not worth much?,black ink white napkin napkin food stain,worth
so it's not worth much?,"only about $30,000.",worth,
"only about $30,000.","without the food stains, it would probably be worth more.",,food stain probably worth
can we go to the baseball game?,of course.,baseball game,course
of course.,i love baseball.,course,love baseball
i love baseball.,so do i.,love baseball,
so do i.,i love to eat the peanuts.,,love eat peanut
i love to eat the peanuts.,i love to eat the hot dogs.,love eat peanut,love eat hot dog
i love to eat the hot dogs.,i hope we'll see a home run.,love eat hot dog,hope home run
i hope we'll see a home run.,i hope we'll catch a foul ball.,hope home run,hope catch foul ball
i hope we'll catch a foul ball.,bring a jacket.,hope catch foul ball,bring jacket
bring a jacket.,yes. it gets a little cool at night.,bring jacket,yes get little cool night
yes. it gets a little cool at night.,bring a glove to catch a foul ball.,yes get little cool night,bring glove catch foul ball
bring a glove to catch a foul ball.,no. i'll just use my cap to catch a foul ball.,bring glove catch foul ball,use cap catch foul ball
golf is a silly game.,it certainly is.,golf silly game,certainly
it certainly is.,you hit a white ball.,certainly,hit white ball
you hit a white ball.,and then you chase it.,hit white ball,chase
and then you chase it.,and then you hit it again.,chase,hit
and then you hit it again.,"finally, you put the ball into a hole in the ground.",hit,finally ball hole ground
"finally, you put the ball into a hole in the ground.","you do this 18 times, because there are 18 holes.",finally ball hole ground,time hole
"you do this 18 times, because there are 18 holes.",what's the point?,time hole,point
what's the point?,how can it be fun?,point,fun
how can it be fun?,they pay money to play this silly game!,fun,pay money play silly game
they pay money to play this silly game!,i think golfers have a mental problem.,pay money play silly game,think golfer mental problem
i think golfers have a mental problem.,i think they're nuts.,think golfer mental problem,think nuts
do you want to go fishing?,yes. that's a good idea.,want fish,yes good idea
yes. that's a good idea.,where do you want to go?,yes good idea,want
where do you want to go?,we can go to the river.,want,river
we can go to the river.,or we can go to the lake.,river,lake
or we can go to the lake.,or we can go to the ocean.,lake,ocean
or we can go to the ocean.,let's go to the lake.,ocean,let lake
let's go to the lake.,yes. the lake is only 10 miles away.,let lake,yes lake mile away
yes. the lake is only 10 miles away.,we can be there in 20 minutes.,yes lake mile away,minute
we can be there in 20 minutes.,i'll get our fishing rods.,minute,fishing rod
i'll get our fishing rods.,i'll get the bait.,fishing rod,bait
i'll get the bait.,we'll have fresh fish for dinner!,bait,fresh fish dinner
baseball is fun.,i like to hit the ball.,baseball fun,like hit ball
i like to hit the ball.,i like to run around the bases.,like hit ball,like run basis
i like to run around the bases.,i like to slide into the bases.,like run basis,like slide basis
i like to slide into the bases.,yeah. it's a lot of fun to slide.,like slide basis,yeah lot fun slide
yeah. it's a lot of fun to slide.,i want to be a baseball player when i grow up.,yeah lot fun slide,want baseball player grow
i want to be a baseball player when i grow up.,me too. i want to play for the yankees.,want baseball player grow,want play yankees
me too. i want to play for the yankees.,not me. i want to play for the dodgers.,want play yankees,want play dodger
not me. i want to play for the dodgers.,we have to practice every day.,want play dodger,practice day
we have to practice every day.,i don't like practice.,practice day,like practice
i don't like practice.,me neither. it's boring.,like practice,boring
me neither. it's boring.,but practice makes perfect.,boring,practice make perfect
let's go jogging.,that's a good idea.,let jog,good idea
that's a good idea.,i bought some new shoes.,good idea,buy new shoe
i bought some new shoes.,are they comfortable?,buy new shoe,comfortable
are they comfortable?,they're very comfortable.,comfortable,comfortable
they're very comfortable.,how much were they?,comfortable,
how much were they?,they were on sale for $80.,,sale
they were on sale for $80.,do they help you run faster?,sale,help run fast
do they help you run faster?,"no, but my feet don't hurt anymore.",help run fast,foot hurt anymore
"no, but my feet don't hurt anymore.",then they're worth every penny.,foot hurt anymore,worth penny
then they're worth every penny.,you might want to buy a pair.,worth penny,want buy pair
you might want to buy a pair.,i'll wait until i wear this pair out.,want buy pair,wait wear pair
